,,,"תוצאות בקטריאליות מדיגום במסגרת פיקוח מדגמי בנחלים, סקרים, שונות ",,
קוד נקודה,תאריך דיגום,מדד בקטריאלי,תוצאה     CFU/100 ml,שם נקודה,אתר
NS00001996,2023-04-23 16:25:44,קוליפורם צואתי,2000,בריכת מעיין עליונה - עינות צוקים,עינות צוקים
NS00001996,2023-05-01 13:28:33,קוליפורם צואתי,50,בריכת מעיין עליונה - עינות צוקים,עינות צוקים
NS00001996,2023-06-27 12:32:45,קוליפורם צואתי,70,בריכת מעיין עליונה - עינות צוקים,עינות צוקים
NS00001996,2023-07-19 12:13:54,קוליפורם צואתי,370,בריכת מעיין עליונה - עינות צוקים,עינות צוקים
NS00001648,2023-01-29 16:59:14,קוליפורם צואתי,<10,מזין בריכת קנה,עינות צוקים
NS00001648,2023-03-13 16:16:14,קוליפורם צואתי,30,מזין בריכת קנה,עינות צוקים
NS00001648,2023-04-23 16:25:44,קוליפורם צואתי,40,מזין בריכת קנה,עינות צוקים
NS00001648,2023-06-27 12:32:45,קוליפורם צואתי,80,מזין בריכת קנה,עינות צוקים
NS00001648,2023-07-19 12:13:54,קוליפורם צואתי,210,מזין בריכת קנה,עינות צוקים
NS00001648,2023-07-26 14:17:02,קוליפורם צואתי,950,מזין בריכת קנה,עינות צוקים
NS00001649,2023-01-29 16:59:14,קוליפורם צואתי,280,בריכת קנה,עינות צוקים
NS00001649,2023-03-13 16:16:14,קוליפורם צואתי,50,בריכת קנה,עינות צוקים
NS00001649,2023-04-23 16:25:44,קוליפורם צואתי,500,בריכת קנה,עינות צוקים
NS00001649,2023-05-01 13:28:33,קוליפורם צואתי,230,בריכת קנה,עינות צוקים
NS00001649,2023-07-19 12:13:54,קוליפורם צואתי,2500,בריכת קנה,עינות צוקים
NS00001649,2023-07-26 14:17:02,קוליפורם צואתי,פלטה מכוסה,בריכת קנה,עינות צוקים
NS00001649,2023-07-30 14:53:31,קוליפורם צואתי,120,בריכת קנה,עינות צוקים
NS00001650,2023-01-29 16:59:14,קוליפורם צואתי,10,מזין בריכת המעיין התחתונה,עינות צוקים
NS00001650,2023-03-13 16:16:14,קוליפורם צואתי,20,מזין בריכת המעיין התחתונה,עינות צוקים
NS00001650,2023-04-23 16:25:44,קוליפורם צואתי,70,מזין בריכת המעיין התחתונה,עינות צוקים
NS00001650,2023-06-27 12:32:45,קוליפורם צואתי,60,מזין בריכת המעיין התחתונה,עינות צוקים
NS00001650,2023-07-19 12:13:54,קוליפורם צואתי,230,מזין בריכת המעיין התחתונה,עינות צוקים
NS00001651,2023-01-29 16:59:14,קוליפורם צואתי,70,בריכת המעיין,עינות צוקים
NS00001651,2023-03-13 16:16:14,קוליפורם צואתי,<10,בריכת המעיין,עינות צוקים
NS00001651,2023-04-23 16:25:44,קוליפורם צואתי,450,בריכת המעיין,עינות צוקים
NS00001651,2023-05-01 13:28:33,קוליפורם צואתי,130,בריכת המעיין,עינות צוקים
NS00001651,2023-07-19 12:13:54,קוליפורם צואתי,400,בריכת המעיין,עינות צוקים
NS00000711,2023-03-27 15:16:46,E.coli MUG,140,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2023-03-27 15:16:46,קוליפורם צואתי,150,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2023-04-02 13:42:43,E.coli MUG,270,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2023-04-02 13:42:43,קוליפורם צואתי,380,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2023-04-17 17:21:43,E.coli MUG,630,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2023-04-17 17:21:43,קוליפורם צואתי,760,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2023-05-01 15:29:40,E.coli MUG,270,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2023-05-01 15:29:40,קוליפורם צואתי,290,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2023-05-15 14:10:21,E.coli MUG,600,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2023-05-15 14:10:21,קוליפורם צואתי,600,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2023-05-29 13:15:36,E.coli MUG,120,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2023-05-29 13:15:36,קוליפורם צואתי,200,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2023-06-12 15:32:26,E.coli MUG,370,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2023-06-12 15:32:26,קוליפורם צואתי,370,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2023-06-26 13:50:37,E.coli MUG,500,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2023-06-26 13:50:37,קוליפורם צואתי,550,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2023-07-10 16:44:18,E.coli MUG,300,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2023-07-10 16:44:18,קוליפורם צואתי,380,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2023-07-24 00:00:00,E.coli MUG,600,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2023-07-24 00:00:00,קוליפורם צואתי,600,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2023-08-07 14:54:00,E.coli MUG,400,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2023-08-07 14:54:00,קוליפורם צואתי,780,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2023-08-21 00:00:00,E.coli MUG,1700,ג'ילבון מפל דבורה,ג'ילבון
