"תוצאות בקטריאליות מדיגום במסגרת פיקוח מדגמי בנחלים, סקרים, שונות ",,,,,,,
קוד נקודה,תאריך דיגום,אנליט,תוצאה CFU/100 ml,שם נקודה,אתר,,
NS00000711,2019-04-16 16:29:05,קוליפורם צואתי,160,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2019-05-06 16:33:52,E.coli MUG,80,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2019-05-06 16:33:52,קוליפורם צואתי,80,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2019-05-20 15:42:40,E.coli MUG,90,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2019-05-20 15:42:40,קוליפורם צואתי,110,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2019-06-02 15:55:39,E.coli MUG,פלטה מכוסה,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2019-06-02 15:55:39,קוליפורם צואתי,פלטה מכוסה,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2019-06-03 18:04:51,E.coli MUG,700,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2019-06-03 18:04:51,קוליפורם צואתי,700,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2019-06-16 00:00:00,E.coli MUG,270,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2019-06-16 00:00:00,קוליפורם צואתי,270,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2019-07-02 15:07:23,E.coli MUG,210,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2019-07-02 15:07:23,קוליפורם צואתי,220,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2019-07-15 16:41:00,E.coli MUG,800,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2019-07-15 16:41:00,קוליפורם צואתי,800,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2019-08-05 15:52:40,E.coli MUG,430,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2019-08-05 15:52:40,קוליפורם צואתי,480,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2019-08-19 00:00:00,E.coli MUG,400,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2019-08-19 00:00:00,קוליפורם צואתי,800,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2019-09-02 14:45:03,E.coli MUG,100,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2019-09-02 14:45:03,קוליפורם צואתי,850,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2019-09-18 16:44:05,E.coli MUG,870,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2019-09-18 16:44:05,קוליפורם צואתי,1080,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2019-09-19 00:00:00,E.coli MUG,700,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2019-09-19 00:00:00,קוליפורם צואתי,1200,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2019-09-24 17:02:13,E.coli MUG,1100,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2019-09-24 17:02:13,קוליפורם צואתי,1100,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2019-10-02 17:19:52,E.coli MUG,470,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2019-10-02 17:19:52,קוליפורם צואתי,500,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2019-10-03 13:53:07,E.coli MUG,430,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2019-10-03 13:53:07,קוליפורם צואתי,470,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2019-10-15 14:17:45,E.coli MUG,310,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2019-10-15 14:17:45,קוליפורם צואתי,630,ג'ילבון מפל דבורה,ג'ילבון,,
NS00001899,2019-07-15 18:05:40,E.coli MUG,150,ג'ילבון אזור עלייקה,ג'ילבון,,
NS00001899,2019-07-15 18:05:40,קוליפורם צואתי,300,ג'ילבון אזור עלייקה,ג'ילבון,,
NS00001899,2019-08-19 00:00:00,E.coli MUG,50,ג'ילבון אזור עלייקה,ג'ילבון,,
NS00001899,2019-08-19 00:00:00,קוליפורם צואתי,90,ג'ילבון אזור עלייקה,ג'ילבון,,
NS00001899,2019-09-18 16:44:05,E.coli MUG,80,ג'ילבון אזור עלייקה,ג'ילבון,,
NS00001899,2019-09-18 16:44:05,קוליפורם צואתי,110,ג'ילבון אזור עלייקה,ג'ילבון,,
NS00001901,2019-07-15 18:05:40,E.coli MUG,2100,ג'ילבון ירידה לשטח אש,ג'ילבון,,
NS00001901,2019-07-15 18:05:40,קוליפורם צואתי,2100,ג'ילבון ירידה לשטח אש,ג'ילבון,,
NS00001901,2019-08-19 00:00:00,E.coli MUG,520,ג'ילבון ירידה לשטח אש,ג'ילבון,,
NS00001901,2019-08-19 00:00:00,קוליפורם צואתי,520,ג'ילבון ירידה לשטח אש,ג'ילבון,,
NS00001901,2019-09-18 16:44:05,E.coli MUG,130,ג'ילבון ירידה לשטח אש,ג'ילבון,,
NS00001901,2019-09-18 16:44:05,קוליפורם צואתי,170,ג'ילבון ירידה לשטח אש,ג'ילבון,,
NS00000706,2019-03-26 17:43:42,E.coli MUG,20,זוויתן לפני מפל,זוויתן,,
NS00000706,2019-03-26 17:43:42,קוליפורם צואתי,30,זוויתן לפני מפל,זוויתן,,
NS00000706,2019-04-10 14:21:49,E.coli MUG,120,זוויתן לפני מפל,זוויתן,,
NS00000706,2019-04-10 14:21:49,קוליפורם צואתי,120,זוויתן לפני מפל,זוויתן,,
NS00000706,2019-04-16 16:29:05,E.coli MUG,360,זוויתן לפני מפל,זוויתן,,
NS00000706,2019-04-16 16:29:05,קוליפורם צואתי,460,זוויתן לפני מפל,זוויתן,,
NS00000706,2019-05-06 16:33:52,E.coli MUG,2500,זוויתן לפני מפל,זוויתן,,
NS00000706,2019-05-06 16:33:52,קוליפורם צואתי,2500,זוויתן לפני מפל,זוויתן,,
NS00000706,2019-05-07 15:26:44,E.coli MUG,600,זוויתן לפני מפל,זוויתן,,
