"תוצאות בקטריאליות מדיגום במסגרת פיקוח מדגמי בנחלים, סקרים, שונות ",,,,,,,
קוד נקודה,תאריך דיגום,אנליט,תוצאה CFU/100 ml,שם נקודה,אתר,,
NS00001873,2019-08-19 00:00:00,קוליפורם צואתי,430,חצבני נוחיילה,חצבני,,
NS00001873,2019-09-18 16:44:05,E.coli MUG,270,חצבני נוחיילה,חצבני,,
NS00001873,2019-09-18 16:44:05,קוליפורם צואתי,460,חצבני נוחיילה,חצבני,,
NS00000709,2019-03-26 17:43:42,E.coli MUG,970,ירדן גשר חורי,ירדן,,
NS00000709,2019-03-26 17:43:42,קוליפורם צואתי,970,ירדן גשר חורי,ירדן,,
NS00000709,2019-04-10 14:21:49,E.coli MUG,470,ירדן גשר חורי,ירדן,,
NS00000709,2019-04-10 14:21:49,קוליפורם צואתי,470,ירדן גשר חורי,ירדן,,
NS00000709,2019-04-16 16:29:05,E.coli MUG,900,ירדן גשר חורי,ירדן,,
NS00000709,2019-04-16 16:29:05,קוליפורם צואתי,1100,ירדן גשר חורי,ירדן,,
NS00000709,2019-04-17 15:02:06,E.coli MUG,1200,ירדן גשר חורי,ירדן,,
NS00000709,2019-04-17 15:02:06,קוליפורם צואתי,1200,ירדן גשר חורי,ירדן,,
NS00000709,2019-05-06 16:33:52,E.coli MUG,420,ירדן גשר חורי,ירדן,,
NS00000709,2019-05-06 16:33:52,קוליפורם צואתי,420,ירדן גשר חורי,ירדן,,
NS00000709,2019-05-20 15:42:40,E.coli MUG,180,ירדן גשר חורי,ירדן,,
NS00000709,2019-05-20 15:42:40,קוליפורם צואתי,260,ירדן גשר חורי,ירדן,,
NS00000709,2019-06-02 15:55:39,E.coli MUG,1200,ירדן גשר חורי,ירדן,,
NS00000709,2019-06-02 15:55:39,קוליפורם צואתי,1200,ירדן גשר חורי,ירדן,,
NS00000709,2019-06-03 18:04:51,E.coli MUG,600,ירדן גשר חורי,ירדן,,
NS00000709,2019-06-03 18:04:51,קוליפורם צואתי,600,ירדן גשר חורי,ירדן,,
NS00000709,2019-06-16 00:00:00,E.coli MUG,800,ירדן גשר חורי,ירדן,,
NS00000709,2019-06-16 00:00:00,קוליפורם צואתי,800,ירדן גשר חורי,ירדן,,
NS00000709,2019-07-02 15:07:23,E.coli MUG,550,ירדן גשר חורי,ירדן,,
NS00000709,2019-07-02 15:07:23,קוליפורם צואתי,550,ירדן גשר חורי,ירדן,,
NS00000709,2019-07-15 16:41:00,E.coli MUG,1200,ירדן גשר חורי,ירדן,,
NS00000709,2019-07-15 16:41:00,קוליפורם צואתי,1200,ירדן גשר חורי,ירדן,,
NS00000709,2019-07-16 15:27:55,E.coli MUG,200,ירדן גשר חורי,ירדן,,
NS00000709,2019-07-16 15:27:55,קוליפורם צואתי,880,ירדן גשר חורי,ירדן,,
NS00000709,2019-08-05 15:52:40,E.coli MUG,870,ירדן גשר חורי,ירדן,,
NS00000709,2019-08-05 15:52:40,קוליפורם צואתי,1030,ירדן גשר חורי,ירדן,,
NS00000709,2019-08-06 18:51:33,E.coli MUG,1100,ירדן גשר חורי,ירדן,,
NS00000709,2019-08-06 18:51:33,קוליפורם צואתי,1100,ירדן גשר חורי,ירדן,,
NS00000709,2019-08-19 00:00:00,E.coli MUG,850,ירדן גשר חורי,ירדן,,
NS00000709,2019-08-19 00:00:00,קוליפורם צואתי,850,ירדן גשר חורי,ירדן,,
NS00000709,2019-09-02 14:45:03,E.coli MUG,500,ירדן גשר חורי,ירדן,,
NS00000709,2019-09-02 14:45:03,קוליפורם צואתי,720,ירדן גשר חורי,ירדן,,
NS00000709,2019-09-18 16:44:05,E.coli MUG,2000,ירדן גשר חורי,ירדן,,
NS00000709,2019-09-18 16:44:05,קוליפורם צואתי,2500,ירדן גשר חורי,ירדן,,
NS00000709,2019-09-19 00:00:00,E.coli MUG,1250,ירדן גשר חורי,ירדן,,
NS00000709,2019-09-19 00:00:00,קוליפורם צואתי,2500,ירדן גשר חורי,ירדן,,
NS00000709,2019-09-24 17:02:13,E.coli MUG,400,ירדן גשר חורי,ירדן,,
NS00000709,2019-09-24 17:02:13,קוליפורם צואתי,750,ירדן גשר חורי,ירדן,,
NS00000709,2019-10-02 17:19:52,E.coli MUG,2100,ירדן גשר חורי,ירדן,,
NS00000709,2019-10-02 17:19:52,קוליפורם צואתי,2100,ירדן גשר חורי,ירדן,,
NS00000709,2019-10-03 13:53:07,E.coli MUG,440,ירדן גשר חורי,ירדן,,
NS00000709,2019-10-03 13:53:07,קוליפורם צואתי,800,ירדן גשר חורי,ירדן,,
NS00000709,2019-10-15 14:17:45,E.coli MUG,1000,ירדן גשר חורי,ירדן,,
NS00000709,2019-10-15 14:17:45,קוליפורם צואתי,1200,ירדן גשר חורי,ירדן,,
NS00000709,2019-10-16 16:17:25,E.coli MUG,600,ירדן גשר חורי,ירדן,,
NS00000709,2019-10-16 16:17:25,קוליפורם צואתי,800,ירדן גשר חורי,ירדן,,
NS00000710,2019-03-26 17:43:42,E.coli MUG,850,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-03-26 17:43:42,קוליפורם צואתי,880,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-04-10 14:21:49,E.coli MUG,550,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-04-10 14:21:49,קוליפורם צואתי,550,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-04-16 16:29:05,E.coli MUG,930,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-04-16 16:29:05,קוליפורם צואתי,1190,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-04-17 15:02:06,E.coli MUG,1330,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-04-17 15:02:06,קוליפורם צואתי,1330,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-05-06 16:33:52,E.coli MUG,360,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-05-06 16:33:52,קוליפורם צואתי,360,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-05-20 15:42:40,E.coli MUG,400,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-05-20 15:42:40,קוליפורם צואתי,430,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-06-02 15:55:39,E.coli MUG,1100,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-06-02 15:55:39,קוליפורם צואתי,1100,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-06-03 18:07:03,E.coli MUG,800,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-06-03 18:07:03,קוליפורם צואתי,800,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-06-16 00:00:00,E.coli MUG,1300,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-06-16 00:00:00,קוליפורם צואתי,1300,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-06-17 14:00:43,E.coli MUG,200,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-06-17 14:00:43,קוליפורם צואתי,700,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-07-02 15:07:23,E.coli MUG,400,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-07-02 15:07:23,קוליפורם צואתי,650,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-07-15 16:41:00,E.coli MUG,500,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-07-15 16:41:00,קוליפורם צואתי,1300,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-07-16 15:27:55,E.coli MUG,250,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-07-16 15:27:55,קוליפורם צואתי,890,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-08-05 15:52:40,E.coli MUG,980,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-08-05 15:52:40,קוליפורם צואתי,1040,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-08-06 18:51:33,E.coli MUG,1200,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-08-06 18:51:33,קוליפורם צואתי,1200,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-08-19 00:00:00,E.coli MUG,1300,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-08-19 00:00:00,קוליפורם צואתי,1300,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-08-21 15:32:46,E.coli MUG,1400,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-08-21 15:32:46,קוליפורם צואתי,1420,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-09-02 14:45:03,E.coli MUG,500,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-09-02 14:45:03,קוליפורם צואתי,890,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-09-18 16:44:05,E.coli MUG,2000,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-09-18 16:44:05,קוליפורם צואתי,2200,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-09-19 00:00:00,E.coli MUG,1160,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-09-19 00:00:00,קוליפורם צואתי,2900,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-09-24 17:02:13,E.coli MUG,600,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-09-24 17:02:13,קוליפורם צואתי,1150,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-10-02 17:19:52,E.coli MUG,2100,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-10-02 17:19:52,קוליפורם צואתי,2200,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-10-03 13:53:07,E.coli MUG,650,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-10-03 13:53:07,קוליפורם צואתי,850,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-10-15 14:17:45,E.coli MUG,900,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-10-15 14:17:45,קוליפורם צואתי,1100,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-10-16 16:17:25,E.coli MUG,720,ירדן מיצד עטרת,ירדן,,
NS00000710,2019-10-16 16:17:25,קוליפורם צואתי,980,ירדן מיצד עטרת,ירדן,,
NS00001867,2019-03-26 17:43:42,E.coli MUG,1200,ירדן גשר החמישה,ירדן,,
NS00001867,2019-03-26 17:43:42,קוליפורם צואתי,1200,ירדן גשר החמישה,ירדן,,
NS00001867,2019-04-10 14:21:49,E.coli MUG,650,ירדן גשר החמישה,ירדן,,
NS00001867,2019-04-10 14:21:49,קוליפורם צואתי,650,ירדן גשר החמישה,ירדן,,
NS00001867,2019-04-16 16:29:05,E.coli MUG,1150,ירדן גשר החמישה,ירדן,,
NS00001867,2019-04-16 16:29:05,קוליפורם צואתי,1460,ירדן גשר החמישה,ירדן,,
NS00001867,2019-04-17 15:02:06,E.coli MUG,1200,ירדן גשר החמישה,ירדן,,
NS00001867,2019-04-17 15:02:06,קוליפורם צואתי,1200,ירדן גשר החמישה,ירדן,,
NS00001867,2019-05-06 16:33:52,E.coli MUG,480,ירדן גשר החמישה,ירדן,,
NS00001867,2019-05-06 16:33:52,קוליפורם צואתי,480,ירדן גשר החמישה,ירדן,,
NS00001867,2019-05-20 15:42:40,E.coli MUG,180,ירדן גשר החמישה,ירדן,,
NS00001867,2019-05-20 15:42:40,קוליפורם צואתי,230,ירדן גשר החמישה,ירדן,,
NS00001867,2019-06-02 15:55:39,E.coli MUG,500,ירדן גשר החמישה,ירדן,,
NS00001867,2019-06-02 15:55:39,קוליפורם צואתי,500,ירדן גשר החמישה,ירדן,,
NS00001867,2019-06-16 00:00:00,E.coli MUG,750,ירדן גשר החמישה,ירדן,,
NS00001867,2019-06-16 00:00:00,קוליפורם צואתי,750,ירדן גשר החמישה,ירדן,,
NS00001867,2019-07-02 15:07:23,E.coli MUG,380,ירדן גשר החמישה,ירדן,,
NS00001867,2019-07-02 15:07:23,קוליפורם צואתי,440,ירדן גשר החמישה,ירדן,,
NS00001867,2019-07-15 16:41:00,E.coli MUG,1400,ירדן גשר החמישה,ירדן,,
NS00001867,2019-07-15 16:41:00,קוליפורם צואתי,1400,ירדן גשר החמישה,ירדן,,
NS00001867,2019-07-16 15:27:55,E.coli MUG,280,ירדן גשר החמישה,ירדן,,
NS00001867,2019-07-16 15:27:55,קוליפורם צואתי,480,ירדן גשר החמישה,ירדן,,
NS00001867,2019-08-05 15:52:40,E.coli MUG,850,ירדן גשר החמישה,ירדן,,
NS00001867,2019-08-05 15:52:40,קוליפורם צואתי,850,ירדן גשר החמישה,ירדן,,
NS00001867,2019-08-19 00:00:00,E.coli MUG,760,ירדן גשר החמישה,ירדן,,
NS00001867,2019-08-19 00:00:00,קוליפורם צואתי,760,ירדן גשר החמישה,ירדן,,
NS00001867,2019-09-02 14:45:03,E.coli MUG,300,ירדן גשר החמישה,ירדן,,
NS00001867,2019-09-02 14:45:03,קוליפורם צואתי,960,ירדן גשר החמישה,ירדן,,
NS00001867,2019-09-18 16:44:05,E.coli MUG,2400,ירדן גשר החמישה,ירדן,,
NS00001867,2019-09-18 16:44:05,קוליפורם צואתי,2400,ירדן גשר החמישה,ירדן,,
NS00001867,2019-09-19 00:00:00,E.coli MUG,1350,ירדן גשר החמישה,ירדן,,
NS00001867,2019-09-19 00:00:00,קוליפורם צואתי,2750,ירדן גשר החמישה,ירדן,,
NS00001867,2019-09-24 17:02:13,E.coli MUG,450,ירדן גשר החמישה,ירדן,,
NS00001867,2019-09-24 17:02:13,קוליפורם צואתי,520,ירדן גשר החמישה,ירדן,,
NS00001867,2019-10-02 17:19:52,E.coli MUG,1250,ירדן גשר החמישה,ירדן,,
NS00001867,2019-10-02 17:19:52,קוליפורם צואתי,1300,ירדן גשר החמישה,ירדן,,
NS00001867,2019-10-03 13:53:07,E.coli MUG,600,ירדן גשר החמישה,ירדן,,
NS00001867,2019-10-03 13:53:07,קוליפורם צואתי,800,ירדן גשר החמישה,ירדן,,
NS00001867,2019-10-15 14:17:45,E.coli MUG,400,ירדן גשר החמישה,ירדן,,
NS00001867,2019-10-15 14:17:45,קוליפורם צואתי,1300,ירדן גשר החמישה,ירדן,,
NS00001867,2019-10-16 16:17:25,E.coli MUG,650,ירדן גשר החמישה,ירדן,,
NS00001867,2019-10-16 16:17:25,קוליפורם צואתי,830,ירדן גשר החמישה,ירדן,,
NS00001868,2019-03-26 17:43:42,E.coli MUG,890,ירדן גשר יוסף,ירדן,,
NS00001868,2019-03-26 17:43:42,קוליפורם צואתי,980,ירדן גשר יוסף,ירדן,,
NS00001868,2019-04-10 14:21:49,E.coli MUG,760,ירדן גשר יוסף,ירדן,,
NS00001868,2019-04-10 14:21:49,קוליפורם צואתי,760,ירדן גשר יוסף,ירדן,,
NS00001868,2019-04-16 16:29:05,E.coli MUG,1200,ירדן גשר יוסף,ירדן,,
NS00001868,2019-04-16 16:29:05,קוליפורם צואתי,1500,ירדן גשר יוסף,ירדן,,
NS00001868,2019-04-17 15:02:06,E.coli MUG,2000,ירדן גשר יוסף,ירדן,,
NS00001868,2019-04-17 15:02:06,קוליפורם צואתי,2000,ירדן גשר יוסף,ירדן,,
NS00001868,2019-05-06 16:33:52,E.coli MUG,910,ירדן גשר יוסף,ירדן,,
NS00001868,2019-05-06 16:33:52,קוליפורם צואתי,910,ירדן גשר יוסף,ירדן,,
NS00001868,2019-05-20 15:42:40,E.coli MUG,510,ירדן גשר יוסף,ירדן,,
NS00001868,2019-05-20 15:42:40,קוליפורם צואתי,530,ירדן גשר יוסף,ירדן,,
NS00001868,2019-06-02 15:55:39,E.coli MUG,400,ירדן גשר יוסף,ירדן,,
NS00001868,2019-06-02 15:55:39,קוליפורם צואתי,400,ירדן גשר יוסף,ירדן,,
NS00001868,2019-06-16 00:00:00,E.coli MUG,400,ירדן גשר יוסף,ירדן,,
NS00001868,2019-06-16 00:00:00,קוליפורם צואתי,400,ירדן גשר יוסף,ירדן,,
NS00001868,2019-07-02 15:07:23,קוליפורם צואתי,<1,ירדן גשר יוסף,ירדן,,
NS00001868,2019-07-15 16:41:00,E.coli MUG,300,ירדן גשר יוסף,ירדן,,
NS00001868,2019-07-15 16:41:00,קוליפורם צואתי,800,ירדן גשר יוסף,ירדן,,
NS00001868,2019-08-05 15:52:40,E.coli MUG,430,ירדן גשר יוסף,ירדן,,
NS00001868,2019-08-05 15:52:40,קוליפורם צואתי,460,ירדן גשר יוסף,ירדן,,
NS00001868,2019-08-19 00:00:00,E.coli MUG,580,ירדן גשר יוסף,ירדן,,
NS00001868,2019-08-19 00:00:00,קוליפורם צואתי,720,ירדן גשר יוסף,ירדן,,
NS00001868,2019-09-02 14:45:03,E.coli MUG,150,ירדן גשר יוסף,ירדן,,
NS00001868,2019-09-02 14:45:03,קוליפורם צואתי,510,ירדן גשר יוסף,ירדן,,
NS00001868,2019-09-18 16:44:05,E.coli MUG,1570,ירדן גשר יוסף,ירדן,,
NS00001868,2019-09-18 16:44:05,קוליפורם צואתי,1750,ירדן גשר יוסף,ירדן,,
NS00001868,2019-09-19 00:00:00,E.coli MUG,1650,ירדן גשר יוסף,ירדן,,
NS00001868,2019-09-19 00:00:00,קוליפורם צואתי,2370,ירדן גשר יוסף,ירדן,,
NS00001868,2019-09-24 17:02:13,E.coli MUG,400,ירדן גשר יוסף,ירדן,,
NS00001868,2019-09-24 17:02:13,קוליפורם צואתי,550,ירדן גשר יוסף,ירדן,,
NS00001868,2019-10-02 17:19:52,E.coli MUG,1030,ירדן גשר יוסף,ירדן,,
NS00001868,2019-10-02 17:19:52,קוליפורם צואתי,1030,ירדן גשר יוסף,ירדן,,
NS00001868,2019-10-03 15:00:22,E.coli MUG,610,ירדן גשר יוסף,ירדן,,
NS00001868,2019-10-03 15:00:22,קוליפורם צואתי,730,ירדן גשר יוסף,ירדן,,
NS00001868,2019-10-15 14:17:45,E.coli MUG,1120,ירדן גשר יוסף,ירדן,,
NS00001868,2019-10-15 14:17:45,קוליפורם צואתי,1120,ירדן גשר יוסף,ירדן,,
NS00001868,2019-10-16 16:17:25,E.coli MUG,370,ירדן גשר יוסף,ירדן,,
NS00001868,2019-10-16 16:17:25,קוליפורם צואתי,480,ירדן גשר יוסף,ירדן,,
NS00001909,2019-07-15 18:05:40,E.coli MUG,90,בניאס זולה 2,בניאס,,
NS00001909,2019-07-15 18:05:40,קוליפורם צואתי,90,בניאס זולה 2,בניאס,,
NS00001909,2019-08-19 00:00:00,E.coli MUG,220,בניאס זולה 2,בניאס,,
NS00001909,2019-08-19 00:00:00,קוליפורם צואתי,220,בניאס זולה 2,בניאס,,
NS00001909,2019-09-18 16:44:05,E.coli MUG,120,בניאס זולה 2,בניאס,,
NS00001909,2019-09-18 16:44:05,קוליפורם צואתי,200,בניאס זולה 2,בניאס,,
NS00001929,2019-09-04 17:10:16,E.coli MUG,1400,בניאס גשר שאר ישוב,בניאס,,
NS00001929,2019-09-04 17:10:16,קוליפורם צואתי,1400,בניאס גשר שאר ישוב,בניאס,,
NS00001929,2019-09-05 15:54:15,E.coli MUG,360,בניאס גשר שאר ישוב,בניאס,,
NS00001929,2019-09-05 15:54:15,קוליפורם צואתי,670,בניאס גשר שאר ישוב,בניאס,,
NS00001930,2019-09-04 17:10:16,E.coli MUG,2000,בניאס תחנת הקמח,בניאס,,
NS00001930,2019-09-04 17:10:16,קוליפורם צואתי,2000,בניאס תחנת הקמח,בניאס,,
NS00001930,2019-09-05 15:54:15,E.coli MUG,320,בניאס תחנת הקמח,בניאס,,
NS00001930,2019-09-05 15:54:15,קוליפורם צואתי,810,בניאס תחנת הקמח,בניאס,,
NS00001931,2019-09-04 17:10:16,E.coli MUG,1600,בניאס מורד המפל,בניאס,,
NS00001931,2019-09-04 17:10:16,קוליפורם צואתי,1600,בניאס מורד המפל,בניאס,,
NS00001931,2019-09-05 15:54:15,E.coli MUG,300,בניאס מורד המפל,בניאס,,
NS00001931,2019-09-05 15:54:15,קוליפורם צואתי,680,בניאס מורד המפל,בניאס,,
NS00001895,2019-07-15 18:05:40,E.coli MUG,2100,זויתן שביל שחור,זוויתן,,
NS00001895,2019-07-15 18:05:40,קוליפורם צואתי,2100,זויתן שביל שחור,זוויתן,,
NS00001895,2019-08-19 00:00:00,E.coli MUG,970,זויתן שביל שחור,זוויתן,,
NS00001895,2019-08-19 00:00:00,קוליפורם צואתי,1900,זויתן שביל שחור,זוויתן,,
NS00001895,2019-09-18 16:44:05,E.coli MUG,880,זויתן שביל שחור,זוויתן,,
NS00001895,2019-09-18 16:44:05,קוליפורם צואתי,880,זויתן שביל שחור,זוויתן,,
NS00000707,2019-04-17 15:02:06,E.coli MUG,2070,חצבני גשר צנורות,חצבני,,
NS00000707,2019-04-17 15:02:06,קוליפורם צואתי,2070,חצבני גשר צנורות,חצבני,,
NS00000707,2019-05-06 16:33:52,E.coli MUG,1820,חצבני גשר צנורות,חצבני,,
NS00000707,2019-05-06 16:33:52,קוליפורם צואתי,1820,חצבני גשר צנורות,חצבני,,
NS00000707,2019-05-07 15:26:44,E.coli MUG,1320,חצבני גשר צנורות,חצבני,,
NS00000707,2019-05-07 15:26:44,קוליפורם צואתי,1320,חצבני גשר צנורות,חצבני,,
NS00000707,2019-06-03 18:07:03,E.coli MUG,700,חצבני גשר צנורות,חצבני,,
NS00000707,2019-06-03 18:07:03,קוליפורם צואתי,700,חצבני גשר צנורות,חצבני,,
NS00001876,2019-04-17 16:06:03,E.coli MUG,2060,חצבני סכר רומי,חצבני,,
NS00001876,2019-04-17 16:06:03,קוליפורם צואתי,2060,חצבני סכר רומי,חצבני,,
NS00001876,2019-05-07 15:26:44,E.coli MUG,1840,חצבני סכר רומי,חצבני,,
NS00001876,2019-05-07 15:26:44,קוליפורם צואתי,1840,חצבני סכר רומי,חצבני,,
NS00001876,2019-07-15 18:05:40,E.coli MUG,230,חצבני סכר רומי,חצבני,,
NS00001876,2019-07-15 18:05:40,קוליפורם צואתי,1100,חצבני סכר רומי,חצבני,,
NS00001876,2019-08-19 00:00:00,E.coli MUG,530,חצבני סכר רומי,חצבני,,
NS00001876,2019-08-19 00:00:00,קוליפורם צואתי,720,חצבני סכר רומי,חצבני,,
NS00001876,2019-09-18 16:44:05,E.coli MUG,400,חצבני סכר רומי,חצבני,,
NS00001876,2019-09-18 16:44:05,קוליפורם צואתי,800,חצבני סכר רומי,חצבני,,
NS00001900,2019-07-15 18:05:40,E.coli MUG,150,ירדן גשר הדודות,ירדן,,
NS00001900,2019-07-15 18:05:40,קוליפורם צואתי,700,ירדן גשר הדודות,ירדן,,
NS00001900,2019-08-19 00:00:00,E.coli MUG,510,ירדן גשר הדודות,ירדן,,
NS00001900,2019-08-19 00:00:00,קוליפורם צואתי,510,ירדן גשר הדודות,ירדן,,
NS00001900,2019-09-18 16:44:05,E.coli MUG,300,ירדן גשר הדודות,ירדן,,
NS00001900,2019-09-18 16:44:05,קוליפורם צואתי,700,ירדן גשר הדודות,ירדן,,
NS00001900,2019-09-24 17:02:13,E.coli MUG,300,ירדן גשר הדודות,ירדן,,
NS00001900,2019-09-24 17:02:13,קוליפורם צואתי,580,ירדן גשר הדודות,ירדן,,
NS00001900,2019-10-03 13:53:07,E.coli MUG,300,ירדן גשר הדודות,ירדן,,
NS00001900,2019-10-03 13:53:07,קוליפורם צואתי,380,ירדן גשר הדודות,ירדן,,
NS00001900,2019-10-15 14:17:45,E.coli MUG,330,ירדן גשר הדודות,ירדן,,
NS00001900,2019-10-15 14:17:45,קוליפורם צואתי,850,ירדן גשר הדודות,ירדן,,
NS00001904,2019-07-15 18:05:40,E.coli MUG,400,ירדן תעלת הבטחון,ירדן,,
NS00001904,2019-07-15 18:05:40,קוליפורם צואתי,1800,ירדן תעלת הבטחון,ירדן,,
NS00001904,2019-08-19 00:00:00,E.coli MUG,900,ירדן תעלת הבטחון,ירדן,,
NS00001904,2019-08-19 00:00:00,קוליפורם צואתי,1120,ירדן תעלת הבטחון,ירדן,,
NS00001904,2019-09-18 16:44:05,E.coli MUG,810,ירדן תעלת הבטחון,ירדן,,
NS00001904,2019-09-18 16:44:05,קוליפורם צואתי,1150,ירדן תעלת הבטחון,ירדן,,
NS00001905,2019-07-15 18:05:40,E.coli MUG,פלטה מכוסה,ירדן נחל דישון,ירדן,,
NS00001905,2019-07-15 18:05:40,קוליפורם צואתי,פלטה מכוסה,ירדן נחל דישון,ירדן,,
NS00001905,2019-08-19 00:00:00,E.coli MUG,1700,ירדן נחל דישון,ירדן,,
NS00001905,2019-08-19 00:00:00,קוליפורם צואתי,1700,ירדן נחל דישון,ירדן,,
NS00001905,2019-09-18 16:44:05,E.coli MUG,740,ירדן נחל דישון,ירדן,,
NS00001905,2019-09-18 16:44:05,קוליפורם צואתי,1050,ירדן נחל דישון,ירדן,,
NS00001906,2019-07-15 18:05:40,E.coli MUG,300,ירדן גשר בנות יעקב,ירדן,,
NS00001906,2019-07-15 18:05:40,קוליפורם צואתי,1400,ירדן גשר בנות יעקב,ירדן,,
NS00001906,2019-08-19 00:00:00,E.coli MUG,1050,ירדן גשר בנות יעקב,ירדן,,
NS00001906,2019-08-19 00:00:00,קוליפורם צואתי,1090,ירדן גשר בנות יעקב,ירדן,,
NS00001906,2019-09-18 16:44:05,E.coli MUG,1800,ירדן גשר בנות יעקב,ירדן,,
NS00001906,2019-09-18 16:44:05,קוליפורם צואתי,1800,ירדן גשר בנות יעקב,ירדן,,
NS00001907,2019-07-15 18:05:40,E.coli MUG,180,ירדן מוצא תעלה מערבית,ירדן,,
NS00001907,2019-07-15 18:05:40,קוליפורם צואתי,400,ירדן מוצא תעלה מערבית,ירדן,,
NS00001907,2019-08-19 00:00:00,E.coli MUG,250,ירדן מוצא תעלה מערבית,ירדן,,
NS00001907,2019-08-19 00:00:00,קוליפורם צואתי,560,ירדן מוצא תעלה מערבית,ירדן,,
NS00001907,2019-09-18 16:44:05,E.coli MUG,370,ירדן מוצא תעלה מערבית,ירדן,,
NS00001907,2019-09-18 16:44:05,קוליפורם צואתי,1250,ירדן מוצא תעלה מערבית,ירדן,,
NS00001928,2019-09-02 14:58:21,E.coli MUG,100,מעיין כייף,,,
NS00001928,2019-09-02 14:58:21,קוליפורם צואתי,140,מעיין כייף,,,
NS00001827,2019-03-11 14:59:35,קוליפורם צואתי,110,אל על מפל שחור,אל על,,
NS00001827,2019-03-14 11:52:22,קוליפורם צואתי,400,אל על מפל שחור,אל על,,
NS00001827,2019-03-21 13:08:22,קוליפורם צואתי,60,אל על מפל שחור,אל על,,
NS00001827,2019-03-26 17:43:42,E.coli MUG,70,אל על מפל שחור,אל על,,
NS00001827,2019-03-26 17:43:42,קוליפורם צואתי,70,אל על מפל שחור,אל על,,
NS00001827,2019-04-10 14:21:49,E.coli MUG,320,אל על מפל שחור,אל על,,
NS00001827,2019-04-10 14:21:49,קוליפורם צואתי,320,אל על מפל שחור,אל על,,
NS00001827,2019-04-16 16:29:05,E.coli MUG,180,אל על מפל שחור,אל על,,
NS00001827,2019-04-16 16:29:05,קוליפורם צואתי,320,אל על מפל שחור,אל על,,
NS00001827,2019-05-20 15:42:40,E.coli MUG,850,אל על מפל שחור,אל על,,
NS00001827,2019-05-20 15:42:40,קוליפורם צואתי,900,אל על מפל שחור,אל על,,
NS00001827,2019-06-02 15:55:39,E.coli MUG,2800,אל על מפל שחור,אל על,,
NS00001827,2019-06-02 15:55:39,קוליפורם צואתי,2800,אל על מפל שחור,אל על,,
NS00001827,2019-06-03 18:07:03,E.coli MUG,1500,אל על מפל שחור,אל על,,
NS00001827,2019-06-03 18:07:03,קוליפורם צואתי,1500,אל על מפל שחור,אל על,,
NS00001827,2019-06-06 11:18:52,E.coli MUG,1200,אל על מפל שחור,אל על,,
NS00001827,2019-06-06 11:18:52,קוליפורם צואתי,1200,אל על מפל שחור,אל על,,
NS00001827,2019-06-10 16:54:48,E.coli MUG,950,אל על מפל שחור,אל על,,
