,,,"תוצאות בקטריאליות מדיגום במסגרת פיקוח מדגמי בנחלים, סקרים, שונות ",,
קוד נקודה,תאריך דיגום,מדד בקטריאלי,תוצאה        CFU/100 ml,שם נקודה,אתר
NS00001972,2026-05-25 14:06:21,E.coli MUG,600,חצבאני תחנה הידרואלקטרית (גן הצפון),חצבני
NS00001972,2026-05-25 14:06:21,קוליפורם צואתי,600,חצבאני תחנה הידרואלקטרית (גן הצפון),חצבני
NS00001972,2026-06-14 14:53:13,E.coli MUG,320,חצבאני תחנה הידרואלקטרית (גן הצפון),חצבני
NS00001972,2026-06-14 14:53:13,קוליפורם צואתי,750,חצבאני תחנה הידרואלקטרית (גן הצפון),חצבני
NS00001972,2026-06-22 13:30:36,E.coli MUG,680,חצבאני תחנה הידרואלקטרית (גן הצפון),חצבני
NS00001972,2026-06-22 13:30:36,קוליפורם צואתי,680,חצבאני תחנה הידרואלקטרית (גן הצפון),חצבני
NS00002072,2026-04-19 11:32:48,E.coli MUG,900,חצבאני אחרי תחנה הידרואלקטרית (כולירה),חצבני
NS00002072,2026-04-19 11:32:48,סטרפטוקוק/אנטרוקוק ממוצא צואתי,120,חצבאני אחרי תחנה הידרואלקטרית (כולירה),חצבני
NS00002072,2026-04-19 11:32:48,קוליפורם צואתי,900,חצבאני אחרי תחנה הידרואלקטרית (כולירה),חצבני
NS00000709,2026-04-26 13:51:20,E.coli MUG,1100,ירדן גשר הפקק (חורי),ירדן
NS00000709,2026-04-26 13:51:20,קוליפורם צואתי,1150,ירדן גשר הפקק (חורי),ירדן
NS00000709,2026-05-12 13:25:09,E.coli MUG,410,ירדן גשר הפקק (חורי),ירדן
NS00000709,2026-05-12 13:25:09,קוליפורם צואתי,550,ירדן גשר הפקק (חורי),ירדן
NS00000709,2026-05-25 14:06:21,E.coli MUG,150,ירדן גשר הפקק (חורי),ירדן
NS00000709,2026-05-25 14:06:21,קוליפורם צואתי,260,ירדן גשר הפקק (חורי),ירדן
NS00000709,2026-06-14 14:53:13,E.coli MUG,250,ירדן גשר הפקק (חורי),ירדן
NS00000709,2026-06-14 14:53:13,קוליפורם צואתי,700,ירדן גשר הפקק (חורי),ירדן
NS00000709,2026-06-22 13:30:36,E.coli MUG,420,ירדן גשר הפקק (חורי),ירדן
NS00000709,2026-06-22 13:30:36,קוליפורם צואתי,420,ירדן גשר הפקק (חורי),ירדן
NS00000710,2026-04-26 13:51:20,E.coli MUG,1200,ירדן מצד עתרת,ירדן
NS00000710,2026-04-26 13:51:20,קוליפורם צואתי,1200,ירדן מצד עתרת,ירדן
NS00000710,2026-05-12 13:25:09,E.coli MUG,500,ירדן מצד עתרת,ירדן
NS00000710,2026-05-12 13:25:09,קוליפורם צואתי,630,ירדן מצד עתרת,ירדן
NS00000710,2026-05-25 14:06:21,E.coli MUG,210,ירדן מצד עתרת,ירדן
NS00000710,2026-05-25 14:06:21,קוליפורם צואתי,350,ירדן מצד עתרת,ירדן
NS00000710,2026-06-14 14:53:13,E.coli MUG,280,ירדן מצד עתרת,ירדן
NS00000710,2026-06-14 14:53:13,קוליפורם צואתי,650,ירדן מצד עתרת,ירדן
NS00000710,2026-06-22 13:30:36,E.coli MUG,470,ירדן מצד עתרת,ירדן
NS00000710,2026-06-22 13:30:36,קוליפורם צואתי,470,ירדן מצד עתרת,ירדן
NS00001867,2026-04-26 13:51:20,E.coli MUG,1300,ירדן גשר החמישה,ירדן
NS00001867,2026-04-26 13:51:20,קוליפורם צואתי,1300,ירדן גשר החמישה,ירדן
NS00001867,2026-05-12 13:25:09,E.coli MUG,530,ירדן גשר החמישה,ירדן
NS00001867,2026-05-12 13:25:09,קוליפורם צואתי,800,ירדן גשר החמישה,ירדן
NS00001867,2026-05-25 14:06:21,E.coli MUG,370,ירדן גשר החמישה,ירדן
NS00001867,2026-05-25 14:06:21,קוליפורם צואתי,900,ירדן גשר החמישה,ירדן
NS00001867,2026-06-14 14:53:13,E.coli MUG,320,ירדן גשר החמישה,ירדן
NS00001867,2026-06-14 14:53:13,קוליפורם צואתי,650,ירדן גשר החמישה,ירדן
NS00001867,2026-06-22 13:30:36,E.coli MUG,1050,ירדן גשר החמישה,ירדן
NS00001867,2026-06-22 13:30:36,קוליפורם צואתי,1050,ירדן גשר החמישה,ירדן
NS00001868,2026-04-26 13:51:20,E.coli MUG,380,ירדן גשר יוסף,ירדן
NS00001868,2026-04-26 13:51:20,קוליפורם צואתי,440,ירדן גשר יוסף,ירדן
NS00001868,2026-05-12 13:25:09,E.coli MUG,230,ירדן גשר יוסף,ירדן
NS00001868,2026-05-12 13:25:09,קוליפורם צואתי,240,ירדן גשר יוסף,ירדן
NS00001868,2026-05-25 14:06:21,E.coli MUG,200,ירדן גשר יוסף,ירדן
NS00001868,2026-05-25 14:06:21,קוליפורם צואתי,330,ירדן גשר יוסף,ירדן
NS00001868,2026-06-14 14:53:13,E.coli MUG,280,ירדן גשר יוסף,ירדן
NS00001868,2026-06-14 14:53:13,קוליפורם צואתי,600,ירדן גשר יוסף,ירדן
NS00001868,2026-06-22 13:30:36,E.coli MUG,1100,ירדן גשר יוסף,ירדן
NS00001868,2026-06-22 13:30:36,קוליפורם צואתי,1100,ירדן גשר יוסף,ירדן
NS00001973,2026-04-26 13:51:20,E.coli MUG,400,נחל עיון כניסה מלבנון,עיון
NS00001973,2026-04-26 13:51:20,קוליפורם צואתי,470,נחל עיון כניסה מלבנון,עיון
NS00001977,2026-04-26 13:51:20,E.coli MUG,1000,חצבאני טיילת מפגש הנחלים,חצבני
NS00001977,2026-04-26 13:51:20,קוליפורם צואתי,1050,חצבאני טיילת מפגש הנחלים,חצבני
NS00001977,2026-05-12 13:25:09,E.coli MUG,200,חצבאני טיילת מפגש הנחלים,חצבני
NS00001977,2026-05-12 13:25:09,קוליפורם צואתי,280,חצבאני טיילת מפגש הנחלים,חצבני
NS00001977,2026-05-25 14:06:21,E.coli MUG,210,חצבאני טיילת מפגש הנחלים,חצבני
NS00001977,2026-05-25 14:06:21,קוליפורם צואתי,330,חצבאני טיילת מפגש הנחלים,חצבני
NS00001977,2026-06-14 14:53:13,E.coli MUG,290,חצבאני טיילת מפגש הנחלים,חצבני
