,,,"תוצאות בקטריאליות מדיגום במסגרת פיקוח מדגמי בנחלים, סקרים, שונות ",,,,,,,,
קוד נקודה,תאריך דיגום,מדד בקטריאלי,תוצאה        CFU/100 ml,שם נקודה,אתר,,,,,,
NS00001908,2024-04-08 15:21:00,קוליפורם צואתי,120,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-04-15 14:43:30,E.coli MUG,270,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-04-15 14:43:30,קוליפורם צואתי,350,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-05-01 15:43:21,E.coli MUG,500,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-05-01 15:43:21,קוליפורם צואתי,550,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-05-12 14:06:20,E.coli MUG,230,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-05-12 14:06:20,קוליפורם צואתי,290,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-05-27 13:54:35,E.coli MUG,200,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-05-27 13:54:35,קוליפורם צואתי,240,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-06-09 15:02:25,E.coli MUG,220,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-06-09 15:02:25,קוליפורם צואתי,550,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-06-24 16:13:59,E.coli MUG,400,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-06-24 16:13:59,קוליפורם צואתי,550,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-07-08 14:16:27,E.coli MUG,200,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-07-08 14:16:27,קוליפורם צואתי,290,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-07-22 14:26:47,E.coli MUG,600,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-07-22 14:26:47,קוליפורם צואתי,600,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-08-19 15:41:44,E.coli MUG,670,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-08-19 15:41:44,קוליפורם צואתי,670,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-09-09 15:47:43,E.coli MUG,700,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-09-09 15:47:43,קוליפורם צואתי,800,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-09-16 14:33:47,E.coli MUG,600,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-09-16 14:33:47,קוליפורם צואתי,1200,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001972,2024-01-01 15:14:41,E.coli MUG,900,חצבאני אחרי תחנה הידרואלקטרית,חצבני,,,,,,
NS00001972,2024-01-01 15:14:41,קוליפורם צואתי,1000,חצבאני אחרי תחנה הידרואלקטרית,חצבני,,,,,,
NS00001972,2024-01-15 15:14:44,E.coli MUG,6500,חצבאני אחרי תחנה הידרואלקטרית,חצבני,,,,,,
NS00001972,2024-01-15 15:14:44,קוליפורם צואתי,6500,חצבאני אחרי תחנה הידרואלקטרית,חצבני,,,,,,
NS00001972,2024-01-29 14:36:53,E.coli MUG,3200,חצבאני אחרי תחנה הידרואלקטרית,חצבני,,,,,,
NS00001972,2024-01-29 14:36:53,קוליפורם צואתי,3200,חצבאני אחרי תחנה הידרואלקטרית,חצבני,,,,,,
NS00001972,2024-02-12 15:02:03,E.coli MUG,1200,חצבאני אחרי תחנה הידרואלקטרית,חצבני,,,,,,
NS00001972,2024-02-12 15:02:03,קוליפורם צואתי,1200,חצבאני אחרי תחנה הידרואלקטרית,חצבני,,,,,,
NS00001972,2024-02-25 14:24:37,E.coli MUG,1000,חצבאני אחרי תחנה הידרואלקטרית,חצבני,,,,,,
NS00001972,2024-02-25 14:24:37,קוליפורם צואתי,1200,חצבאני אחרי תחנה הידרואלקטרית,חצבני,,,,,,
NS00001972,2024-03-10 14:08:12,E.coli MUG,2630,חצבאני אחרי תחנה הידרואלקטרית,חצבני,,,,,,
NS00001972,2024-03-10 14:08:12,קוליפורם צואתי,2630,חצבאני אחרי תחנה הידרואלקטרית,חצבני,,,,,,
NS00000709,2024-03-04 11:56:22,E.coli MUG,900,ירדן גשר חורי,ירדן,,,,,,
NS00000709,2024-03-04 11:56:22,קוליפורם צואתי,1000,ירדן גשר חורי,ירדן,,,,,,
NS00000709,2024-04-08 15:21:00,E.coli MUG,130,ירדן גשר חורי,ירדן,,,,,,
NS00000709,2024-04-08 15:21:00,קוליפורם צואתי,160,ירדן גשר חורי,ירדן,,,,,,
NS00000709,2024-04-15 14:43:30,E.coli MUG,200,ירדן גשר חורי,ירדן,,,,,,
NS00000709,2024-04-15 14:43:30,קוליפורם צואתי,290,ירדן גשר חורי,ירדן,,,,,,
NS00000709,2024-05-01 15:43:21,E.coli MUG,700,ירדן גשר חורי,ירדן,,,,,,
NS00000709,2024-05-01 15:43:21,קוליפורם צואתי,750,ירדן גשר חורי,ירדן,,,,,,
NS00000709,2024-05-12 14:06:20,E.coli MUG,270,ירדן גשר חורי,ירדן,,,,,,
NS00000709,2024-05-12 14:06:20,קוליפורם צואתי,350,ירדן גשר חורי,ירדן,,,,,,
NS00000709,2024-05-27 13:54:35,E.coli MUG,500,ירדן גשר חורי,ירדן,,,,,,
NS00000709,2024-05-27 13:54:35,קוליפורם צואתי,500,ירדן גשר חורי,ירדן,,,,,,
NS00000709,2024-06-09 15:02:25,E.coli MUG,450,ירדן גשר חורי,ירדן,,,,,,
NS00000709,2024-06-09 15:02:25,קוליפורם צואתי,800,ירדן גשר חורי,ירדן,,,,,,
NS00000709,2024-06-24 16:13:59,E.coli MUG,560,ירדן גשר חורי,ירדן,,,,,,
NS00000709,2024-06-24 16:13:59,קוליפורם צואתי,650,ירדן גשר חורי,ירדן,,,,,,
NS00000709,2024-07-08 14:16:27,E.coli MUG,500,ירדן גשר חורי,ירדן,,,,,,
NS00000709,2024-07-08 14:16:27,קוליפורם צואתי,550,ירדן גשר חורי,ירדן,,,,,,
NS00000709,2024-07-22 14:26:47,E.coli MUG,1100,ירדן גשר חורי,ירדן,,,,,,
NS00000709,2024-07-22 14:26:47,קוליפורם צואתי,1100,ירדן גשר חורי,ירדן,,,,,,
NS00000709,2024-08-05 12:03:23,E.coli MUG,300,ירדן גשר חורי,ירדן,,,,,,
NS00000709,2024-08-05 12:03:23,קוליפורם צואתי,650,ירדן גשר חורי,ירדן,,,,,,
NS00000709,2024-08-19 15:41:44,E.coli MUG,1600,ירדן גשר חורי,ירדן,,,,,,
