,,,"תוצאות בקטריאליות מדיגום במסגרת פיקוח מדגמי בנחלים, סקרים, שונות ",,,,,,,,
קוד נקודה,תאריך דיגום,מדד בקטריאלי,תוצאה        CFU/100 ml,שם נקודה,אתר,,,,,,
NS00001900,2024-04-08 15:21:00,קוליפורם צואתי,170,ירדן גשר הדודות,ירדן,,,,,,
NS00001900,2024-04-15 14:43:30,E.coli MUG,170,ירדן גשר הדודות,ירדן,,,,,,
NS00001900,2024-04-15 14:43:30,קוליפורם צואתי,260,ירדן גשר הדודות,ירדן,,,,,,
NS00001900,2024-05-01 15:43:21,E.coli MUG,1000,ירדן גשר הדודות,ירדן,,,,,,
NS00001900,2024-05-01 15:43:21,קוליפורם צואתי,1200,ירדן גשר הדודות,ירדן,,,,,,
NS00001900,2024-05-08 10:42:28,E.coli MUG,360,ירדן גשר הדודות,ירדן,,,,,,
NS00001900,2024-05-08 10:42:28,E.coli MUG,380,ירדן גשר הדודות,ירדן,,,,,,
NS00001900,2024-05-08 10:42:28,קוליפורם צואתי,410,ירדן גשר הדודות,ירדן,,,,,,
NS00001900,2024-05-08 10:42:28,קוליפורם צואתי,420,ירדן גשר הדודות,ירדן,,,,,,
NS00001900,2024-05-12 14:06:20,E.coli MUG,300,ירדן גשר הדודות,ירדן,,,,,,
NS00001900,2024-05-12 14:06:20,קוליפורם צואתי,320,ירדן גשר הדודות,ירדן,,,,,,
NS00001900,2024-05-27 13:54:35,E.coli MUG,300,ירדן גשר הדודות,ירדן,,,,,,
NS00001900,2024-05-27 13:54:35,קוליפורם צואתי,370,ירדן גשר הדודות,ירדן,,,,,,
NS00001900,2024-06-09 15:02:25,E.coli MUG,290,ירדן גשר הדודות,ירדן,,,,,,
NS00001900,2024-06-09 15:02:25,קוליפורם צואתי,680,ירדן גשר הדודות,ירדן,,,,,,
NS00001900,2024-06-24 16:13:59,E.coli MUG,380,ירדן גשר הדודות,ירדן,,,,,,
NS00001900,2024-06-24 16:13:59,קוליפורם צואתי,420,ירדן גשר הדודות,ירדן,,,,,,
NS00001900,2024-07-08 14:16:27,E.coli MUG,200,ירדן גשר הדודות,ירדן,,,,,,
NS00001900,2024-07-08 14:16:27,קוליפורם צואתי,280,ירדן גשר הדודות,ירדן,,,,,,
NS00001900,2024-07-22 14:26:47,E.coli MUG,150,ירדן גשר הדודות,ירדן,,,,,,
NS00001900,2024-07-22 14:26:47,קוליפורם צואתי,450,ירדן גשר הדודות,ירדן,,,,,,
NS00001900,2024-08-05 12:03:23,E.coli MUG,300,ירדן גשר הדודות,ירדן,,,,,,
NS00001900,2024-08-05 12:03:23,קוליפורם צואתי,610,ירדן גשר הדודות,ירדן,,,,,,
NS00001900,2024-08-19 15:41:44,E.coli MUG,560,ירדן גשר הדודות,ירדן,,,,,,
NS00001900,2024-08-19 15:41:44,קוליפורם צואתי,560,ירדן גשר הדודות,ירדן,,,,,,
NS00001900,2024-09-09 15:47:43,E.coli MUG,350,ירדן גשר הדודות,ירדן,,,,,,
NS00001900,2024-09-09 15:47:43,קוליפורם צואתי,560,ירדן גשר הדודות,ירדן,,,,,,
NS00001900,2024-09-16 14:33:47,E.coli MUG,400,ירדן גשר הדודות,ירדן,,,,,,
NS00001900,2024-09-16 14:33:47,קוליפורם צואתי,750,ירדן גשר הדודות,ירדן,,,,,,
NS00001827,2024-05-01 15:43:21,E.coli MUG,700,אל על מפל שחור,אל על,,,,,,
NS00001827,2024-05-01 15:43:21,קוליפורם צואתי,750,אל על מפל שחור,אל על,,,,,,
NS00001827,2024-05-12 14:06:20,E.coli MUG,360,אל על מפל שחור,אל על,,,,,,
NS00001827,2024-05-12 14:06:20,קוליפורם צואתי,500,אל על מפל שחור,אל על,,,,,,
NS00001827,2024-05-27 13:54:35,E.coli MUG,700,אל על מפל שחור,אל על,,,,,,
NS00001827,2024-05-27 13:54:35,קוליפורם צואתי,700,אל על מפל שחור,אל על,,,,,,
NS00001827,2024-07-08 14:16:27,E.coli MUG,270,אל על מפל שחור,אל על,,,,,,
NS00001827,2024-07-08 14:16:27,קוליפורם צואתי,310,אל על מפל שחור,אל על,,,,,,
NS00001827,2024-08-05 12:03:23,E.coli MUG,350,אל על מפל שחור,אל על,,,,,,
NS00001827,2024-08-05 12:03:23,קוליפורם צואתי,770,אל על מפל שחור,אל על,,,,,,
NS00002043,2024-04-08 07:56:17,E.coli MUG,210,אל על בריכת המפל,אל על,,,,,,
NS00002043,2024-04-08 07:56:17,קוליפורם צואתי,280,אל על בריכת המפל,אל על,,,,,,
NS00002043,2024-04-15 14:48:52,E.coli MUG,250,אל על בריכת המפל,אל על,,,,,,
NS00002043,2024-04-15 14:48:52,קוליפורם צואתי,410,אל על בריכת המפל,אל על,,,,,,
NS00002043,2024-06-09 15:02:25,E.coli MUG,220,אל על בריכת המפל,אל על,,,,,,
NS00002043,2024-06-09 15:02:25,קוליפורם צואתי,440,אל על בריכת המפל,אל על,,,,,,
NS00002043,2024-06-24 16:13:59,E.coli MUG,1000,אל על בריכת המפל,אל על,,,,,,
NS00002043,2024-06-24 16:13:59,קוליפורם צואתי,1700,אל על בריכת המפל,אל על,,,,,,
NS00002043,2024-07-22 14:26:47,E.coli MUG,550,אל על בריכת המפל,אל על,,,,,,
NS00002043,2024-07-22 14:26:47,קוליפורם צואתי,550,אל על בריכת המפל,אל על,,,,,,
NS00002043,2024-08-19 15:41:44,E.coli MUG,240,אל על בריכת המפל,אל על,,,,,,
NS00002043,2024-08-19 15:41:44,קוליפורם צואתי,340,אל על בריכת המפל,אל על,,,,,,
NS00002043,2024-09-09 15:47:43,E.coli MUG,260,אל על בריכת המפל,אל על,,,,,,
NS00002043,2024-09-09 15:47:43,קוליפורם צואתי,350,אל על בריכת המפל,אל על,,,,,,
NS00002043,2024-09-16 14:33:47,E.coli MUG,170,אל על בריכת המפל,אל על,,,,,,
NS00002043,2024-09-16 14:33:47,קוליפורם צואתי,270,אל על בריכת המפל,אל על,,,,,,
NS00000712,2024-04-08 15:21:00,E.coli MUG,70, זאכי,יהודיה,,,,,,
NS00000712,2024-04-08 15:21:00,קוליפורם צואתי,100, זאכי,יהודיה,,,,,,
NS00000712,2024-04-15 14:43:30,E.coli MUG,80, זאכי,יהודיה,,,,,,
NS00000712,2024-04-15 14:43:30,קוליפורם צואתי,90, זאכי,יהודיה,,,,,,
NS00000712,2024-05-01 15:43:21,E.coli MUG,1000, זאכי,יהודיה,,,,,,
NS00000712,2024-05-01 15:43:21,קוליפורם צואתי,1200, זאכי,יהודיה,,,,,,
NS00000712,2024-05-12 14:06:20,E.coli MUG,470, זאכי,יהודיה,,,,,,
NS00000712,2024-05-12 14:06:20,קוליפורם צואתי,640, זאכי,יהודיה,,,,,,
NS00000712,2024-05-27 13:54:35,E.coli MUG,1400, זאכי,יהודיה,,,,,,
NS00000712,2024-05-27 13:54:35,קוליפורם צואתי,1400, זאכי,יהודיה,,,,,,
NS00000712,2024-06-09 15:02:25,E.coli MUG,3000, זאכי,יהודיה,,,,,,
NS00000712,2024-06-09 15:02:25,קוליפורם צואתי,3000, זאכי,יהודיה,,,,,,
NS00000712,2024-06-24 16:13:59,E.coli MUG,480, זאכי,יהודיה,,,,,,
NS00000712,2024-06-24 16:13:59,קוליפורם צואתי,480, זאכי,יהודיה,,,,,,
NS00000712,2024-07-08 14:16:27,E.coli MUG,300, זאכי,יהודיה,,,,,,
NS00000712,2024-07-08 14:16:27,קוליפורם צואתי,390, זאכי,יהודיה,,,,,,
NS00000712,2024-07-22 14:26:47,E.coli MUG,550, זאכי,יהודיה,,,,,,
NS00000712,2024-07-22 14:26:47,קוליפורם צואתי,550, זאכי,יהודיה,,,,,,
NS00000712,2024-08-05 12:03:23,E.coli MUG,1300, זאכי,יהודיה,,,,,,
NS00000712,2024-08-05 12:03:23,קוליפורם צואתי,1300, זאכי,יהודיה,,,,,,
NS00000712,2024-08-19 15:41:44,E.coli MUG,1550, זאכי,יהודיה,,,,,,
NS00000712,2024-08-19 15:41:44,קוליפורם צואתי,1550, זאכי,יהודיה,,,,,,
NS00000712,2024-09-09 15:47:43,E.coli MUG,1100, זאכי,יהודיה,,,,,,
NS00000712,2024-09-09 15:47:43,קוליפורם צואתי,1100, זאכי,יהודיה,,,,,,
NS00000712,2024-09-16 14:33:47,E.coli MUG,600, זאכי,יהודיה,,,,,,
NS00000712,2024-09-16 14:33:47,קוליפורם צואתי,1650, זאכי,יהודיה,,,,,,
NS00000713,2024-04-08 15:21:00,E.coli MUG,200,יהודיה מפל יהודיה,יהודיה,,,,,,
NS00000713,2024-04-08 15:21:00,קוליפורם צואתי,300,יהודיה מפל יהודיה,יהודיה,,,,,,
NS00000713,2024-04-15 14:43:30,E.coli MUG,490,יהודיה מפל יהודיה,יהודיה,,,,,,
NS00000713,2024-04-15 14:43:30,קוליפורם צואתי,490,יהודיה מפל יהודיה,יהודיה,,,,,,
NS00000713,2024-05-01 15:43:21,E.coli MUG,600,יהודיה מפל יהודיה,יהודיה,,,,,,
NS00000713,2024-05-01 15:43:21,קוליפורם צואתי,650,יהודיה מפל יהודיה,יהודיה,,,,,,
NS00000713,2024-05-12 14:06:20,E.coli MUG,260,יהודיה מפל יהודיה,יהודיה,,,,,,
NS00000713,2024-05-12 14:06:20,קוליפורם צואתי,380,יהודיה מפל יהודיה,יהודיה,,,,,,
NS00000713,2024-05-27 13:54:35,E.coli MUG,300,יהודיה מפל יהודיה,יהודיה,,,,,,
NS00000713,2024-05-27 13:54:35,קוליפורם צואתי,340,יהודיה מפל יהודיה,יהודיה,,,,,,
NS00000713,2024-06-09 15:02:25,E.coli MUG,320,יהודיה מפל יהודיה,יהודיה,,,,,,
NS00000713,2024-06-09 15:02:25,קוליפורם צואתי,1180,יהודיה מפל יהודיה,יהודיה,,,,,,
NS00000713,2024-06-24 16:13:59,E.coli MUG,770,יהודיה מפל יהודיה,יהודיה,,,,,,
NS00000713,2024-06-24 16:13:59,קוליפורם צואתי,1100,יהודיה מפל יהודיה,יהודיה,,,,,,
NS00000713,2024-07-08 14:16:27,E.coli MUG,200,יהודיה מפל יהודיה,יהודיה,,,,,,
NS00000713,2024-07-08 14:16:27,קוליפורם צואתי,280,יהודיה מפל יהודיה,יהודיה,,,,,,
NS00000713,2024-07-22 14:26:47,E.coli MUG,200,יהודיה מפל יהודיה,יהודיה,,,,,,
NS00000713,2024-07-22 14:26:47,קוליפורם צואתי,220,יהודיה מפל יהודיה,יהודיה,,,,,,
NS00000713,2024-08-05 12:03:23,E.coli MUG,170,יהודיה מפל יהודיה,יהודיה,,,,,,
NS00000713,2024-08-05 12:03:23,קוליפורם צואתי,170,יהודיה מפל יהודיה,יהודיה,,,,,,
NS00000713,2024-08-19 15:41:44,E.coli MUG,100,יהודיה מפל יהודיה,יהודיה,,,,,,
NS00000713,2024-08-19 15:41:44,קוליפורם צואתי,210,יהודיה מפל יהודיה,יהודיה,,,,,,
NS00000713,2024-09-09 15:47:43,E.coli MUG,100,יהודיה מפל יהודיה,יהודיה,,,,,,
NS00000713,2024-09-09 15:47:43,קוליפורם צואתי,160,יהודיה מפל יהודיה,יהודיה,,,,,,
NS00000713,2024-09-16 14:33:47,E.coli MUG,300,יהודיה מפל יהודיה,יהודיה,,,,,,
NS00000713,2024-09-16 14:33:47,קוליפורם צואתי,500,יהודיה מפל יהודיה,יהודיה,,,,,,
NS00000714,2024-01-01 15:14:41,E.coli MUG,300,ירדן גשר אריק,ירדן טבריה,,,,,,
NS00000714,2024-01-01 15:14:41,קוליפורם צואתי,370,ירדן גשר אריק,ירדן טבריה,,,,,,
NS00000714,2024-01-15 15:14:44,E.coli MUG,6000,ירדן גשר אריק,ירדן טבריה,,,,,,
NS00000714,2024-01-15 15:14:44,קוליפורם צואתי,6000,ירדן גשר אריק,ירדן טבריה,,,,,,
NS00000714,2024-01-29 14:36:53,E.coli MUG,3100,ירדן גשר אריק,ירדן טבריה,,,,,,
NS00000714,2024-01-29 14:36:53,קוליפורם צואתי,3100,ירדן גשר אריק,ירדן טבריה,,,,,,
NS00000714,2024-02-12 15:02:03,E.coli MUG,700,ירדן גשר אריק,ירדן טבריה,,,,,,
NS00000714,2024-02-12 15:02:03,קוליפורם צואתי,820,ירדן גשר אריק,ירדן טבריה,,,,,,
NS00000714,2024-02-25 14:24:37,E.coli MUG,800,ירדן גשר אריק,ירדן טבריה,,,,,,
NS00000714,2024-02-25 14:24:37,קוליפורם צואתי,900,ירדן גשר אריק,ירדן טבריה,,,,,,
NS00000714,2024-03-04 11:56:22,E.coli MUG,1400,ירדן גשר אריק,ירדן טבריה,,,,,,
NS00000714,2024-03-04 11:56:22,קוליפורם צואתי,1500,ירדן גשר אריק,ירדן טבריה,,,,,,
NS00000714,2024-03-10 14:08:12,E.coli MUG,460,ירדן גשר אריק,ירדן טבריה,,,,,,
NS00000714,2024-03-10 14:08:12,קוליפורם צואתי,580,ירדן גשר אריק,ירדן טבריה,,,,,,
NS00000714,2024-03-25 13:07:10,E.coli MUG,2000,ירדן גשר אריק,ירדן טבריה,,,,,,
NS00000714,2024-03-25 13:07:10,קוליפורם צואתי,2400,ירדן גשר אריק,ירדן טבריה,,,,,,
NS00000714,2024-04-08 15:21:00,E.coli MUG,130,ירדן גשר אריק,ירדן טבריה,,,,,,
NS00000714,2024-04-08 15:21:00,קוליפורם צואתי,210,ירדן גשר אריק,ירדן טבריה,,,,,,
NS00000714,2024-04-15 14:43:30,E.coli MUG,140,ירדן גשר אריק,ירדן טבריה,,,,,,
NS00000714,2024-04-15 14:43:30,קוליפורם צואתי,240,ירדן גשר אריק,ירדן טבריה,,,,,,
NS00000714,2024-05-01 15:43:21,E.coli MUG,700,ירדן גשר אריק,ירדן טבריה,,,,,,
NS00000714,2024-05-01 15:43:21,קוליפורם צואתי,750,ירדן גשר אריק,ירדן טבריה,,,,,,
NS00000714,2024-05-12 14:06:20,E.coli MUG,270,ירדן גשר אריק,ירדן טבריה,,,,,,
NS00000714,2024-05-12 14:06:20,קוליפורם צואתי,420,ירדן גשר אריק,ירדן טבריה,,,,,,
NS00000714,2024-05-27 13:54:35,E.coli MUG,600,ירדן גשר אריק,ירדן טבריה,,,,,,
NS00000714,2024-05-27 13:54:35,קוליפורם צואתי,600,ירדן גשר אריק,ירדן טבריה,,,,,,
NS00000714,2024-06-09 15:02:25,E.coli MUG,300,ירדן גשר אריק,ירדן טבריה,,,,,,
NS00000714,2024-06-09 15:02:25,קוליפורם צואתי,620,ירדן גשר אריק,ירדן טבריה,,,,,,
NS00000714,2024-06-24 16:13:59,E.coli MUG,440,ירדן גשר אריק,ירדן טבריה,,,,,,
NS00000714,2024-06-24 16:13:59,קוליפורם צואתי,480,ירדן גשר אריק,ירדן טבריה,,,,,,
NS00000714,2024-07-08 14:16:27,E.coli MUG,450,ירדן גשר אריק,ירדן טבריה,,,,,,
NS00000714,2024-07-08 14:16:27,קוליפורם צואתי,650,ירדן גשר אריק,ירדן טבריה,,,,,,
NS00000714,2024-07-22 14:26:47,E.coli MUG,500,ירדן גשר אריק,ירדן טבריה,,,,,,
NS00000714,2024-07-22 14:26:47,קוליפורם צואתי,550,ירדן גשר אריק,ירדן טבריה,,,,,,
NS00000714,2024-08-05 12:03:23,E.coli MUG,400,ירדן גשר אריק,ירדן טבריה,,,,,,
NS00000714,2024-08-05 12:03:23,קוליפורם צואתי,740,ירדן גשר אריק,ירדן טבריה,,,,,,
NS00000714,2024-08-19 15:41:44,E.coli MUG,1300,ירדן גשר אריק,ירדן טבריה,,,,,,
NS00000714,2024-08-19 15:41:44,קוליפורם צואתי,1300,ירדן גשר אריק,ירדן טבריה,,,,,,
NS00000714,2024-09-09 15:47:43,E.coli MUG,500,ירדן גשר אריק,ירדן טבריה,,,,,,
NS00000714,2024-09-09 15:47:43,קוליפורם צואתי,700,ירדן גשר אריק,ירדן טבריה,,,,,,
NS00000714,2024-09-16 14:33:47,E.coli MUG,400,ירדן גשר אריק,ירדן טבריה,,,,,,
NS00000714,2024-09-16 14:33:47,קוליפורם צואתי,700,ירדן גשר אריק,ירדן טבריה,,,,,,
NS00000719,2024-04-08 15:21:00,E.coli MUG,160,מג'רסה,מג'רסה,,,,,,
NS00000719,2024-04-08 15:21:00,קוליפורם צואתי,230,מג'רסה,מג'רסה,,,,,,
NS00000719,2024-04-15 14:43:30,E.coli MUG,60,מג'רסה,מג'רסה,,,,,,
NS00000719,2024-04-15 14:43:30,קוליפורם צואתי,100,מג'רסה,מג'רסה,,,,,,
NS00000719,2024-05-01 15:43:21,E.coli MUG,400,מג'רסה,מג'רסה,,,,,,
NS00000719,2024-05-01 15:43:21,קוליפורם צואתי,450,מג'רסה,מג'רסה,,,,,,
NS00000719,2024-05-05 11:53:25,E.coli MUG,420,מג'רסה,מג'רסה,,,,,,
NS00000719,2024-05-05 11:53:25,קוליפורם צואתי,650,מג'רסה,מג'רסה,,,,,,
NS00000719,2024-05-12 14:06:20,E.coli MUG,230,מג'רסה,מג'רסה,,,,,,
NS00000719,2024-05-12 14:06:20,קוליפורם צואתי,230,מג'רסה,מג'רסה,,,,,,
NS00000719,2024-05-27 13:54:35,E.coli MUG,300,מג'רסה,מג'רסה,,,,,,
NS00000719,2024-05-27 13:54:35,קוליפורם צואתי,320,מג'רסה,מג'רסה,,,,,,
NS00000719,2024-06-09 15:02:25,E.coli MUG,260,מג'רסה,מג'רסה,,,,,,
NS00000719,2024-06-09 15:02:25,קוליפורם צואתי,850,מג'רסה,מג'רסה,,,,,,
NS00000719,2024-06-17 14:22:21,E.coli MUG,160,מג'רסה,מג'רסה,,,,,,
NS00000719,2024-06-17 14:22:21,קוליפורם צואתי,200,מג'רסה,מג'רסה,,,,,,
NS00000719,2024-06-24 16:13:59,E.coli MUG,550,מג'רסה,מג'רסה,,,,,,
NS00000719,2024-06-24 16:13:59,קוליפורם צואתי,950,מג'רסה,מג'רסה,,,,,,
NS00000719,2024-07-01 13:47:06,E.coli MUG,240,מג'רסה,מג'רסה,,,,,,
NS00000719,2024-07-01 13:47:06,קוליפורם צואתי,340,מג'רסה,מג'רסה,,,,,,
NS00000719,2024-07-08 14:16:27,E.coli MUG,750,מג'רסה,מג'רסה,,,,,,
NS00000719,2024-07-08 14:16:27,קוליפורם צואתי,750,מג'רסה,מג'רסה,,,,,,
NS00000719,2024-07-22 14:26:47,E.coli MUG,220,מג'רסה,מג'רסה,,,,,,
NS00000719,2024-07-22 14:26:47,קוליפורם צואתי,2200,מג'רסה,מג'רסה,,,,,,
NS00000719,2024-08-05 12:03:23,E.coli MUG,400,מג'רסה,מג'רסה,,,,,,
NS00000719,2024-08-05 12:03:23,קוליפורם צואתי,670,מג'רסה,מג'רסה,,,,,,
NS00000719,2024-08-19 15:41:44,E.coli MUG,2000,מג'רסה,מג'רסה,,,,,,
NS00000719,2024-08-19 15:41:44,קוליפורם צואתי,2000,מג'רסה,מג'רסה,,,,,,
NS00000719,2024-09-09 15:47:43,E.coli MUG,700,מג'רסה,מג'רסה,,,,,,
NS00000719,2024-09-09 15:47:43,קוליפורם צואתי,700,מג'רסה,מג'רסה,,,,,,
NS00000719,2024-09-16 14:33:47,E.coli MUG,300,מג'רסה,מג'רסה,,,,,,
NS00000719,2024-09-16 14:33:47,קוליפורם צואתי,630,מג'רסה,מג'רסה,,,,,,
NS00000720,2024-04-08 15:21:00,E.coli MUG,320,משושים בריכת המשושים,משושים,,,,,,
NS00000720,2024-04-08 15:21:00,קוליפורם צואתי,360,משושים בריכת המשושים,משושים,,,,,,
NS00000720,2024-04-15 14:43:30,E.coli MUG,230,משושים בריכת המשושים,משושים,,,,,,
NS00000720,2024-04-15 14:43:30,קוליפורם צואתי,330,משושים בריכת המשושים,משושים,,,,,,
NS00000720,2024-05-01 15:43:21,E.coli MUG,140,משושים בריכת המשושים,משושים,,,,,,
NS00000720,2024-05-01 15:43:21,קוליפורם צואתי,1400,משושים בריכת המשושים,משושים,,,,,,
NS00000720,2024-05-12 14:06:20,E.coli MUG,450,משושים בריכת המשושים,משושים,,,,,,
NS00000720,2024-05-12 14:06:20,קוליפורם צואתי,680,משושים בריכת המשושים,משושים,,,,,,
NS00000720,2024-05-27 13:54:35,E.coli MUG,800,משושים בריכת המשושים,משושים,,,,,,
NS00000720,2024-05-27 13:54:35,קוליפורם צואתי,800,משושים בריכת המשושים,משושים,,,,,,
NS00000720,2024-06-09 15:02:25,E.coli MUG,480,משושים בריכת המשושים,משושים,,,,,,
NS00000720,2024-06-09 15:02:25,קוליפורם צואתי,2100,משושים בריכת המשושים,משושים,,,,,,
NS00000720,2024-06-24 16:13:59,E.coli MUG,850,משושים בריכת המשושים,משושים,,,,,,
NS00000720,2024-06-24 16:13:59,קוליפורם צואתי,1000,משושים בריכת המשושים,משושים,,,,,,
NS00000720,2024-07-08 14:16:27,E.coli MUG,100,משושים בריכת המשושים,משושים,,,,,,
NS00000720,2024-07-08 14:16:27,קוליפורם צואתי,1100,משושים בריכת המשושים,משושים,,,,,,
NS00000720,2024-07-22 14:26:47,E.coli MUG,1800,משושים בריכת המשושים,משושים,,,,,,
NS00000720,2024-07-22 14:26:47,קוליפורם צואתי,1800,משושים בריכת המשושים,משושים,,,,,,
NS00000720,2024-08-05 12:03:23,E.coli MUG,1600,משושים בריכת המשושים,משושים,,,,,,
NS00000720,2024-08-05 12:03:23,קוליפורם צואתי,1600,משושים בריכת המשושים,משושים,,,,,,
NS00000720,2024-08-19 15:41:44,E.coli MUG,1800,משושים בריכת המשושים,משושים,,,,,,
NS00000720,2024-08-19 15:41:44,קוליפורם צואתי,1800,משושים בריכת המשושים,משושים,,,,,,
NS00000720,2024-09-09 15:47:43,E.coli MUG,4800,משושים בריכת המשושים,משושים,,,,,,
NS00000720,2024-09-09 15:47:43,קוליפורם צואתי,4800,משושים בריכת המשושים,משושים,,,,,,
NS00000720,2024-09-16 14:33:47,E.coli MUG,600,משושים בריכת המשושים,משושים,,,,,,
NS00000720,2024-09-16 14:33:47,קוליפורם צואתי,1560,משושים בריכת המשושים,משושים,,,,,,
NS00001691,2024-01-01 15:14:41,סטרפטוקוק/אנטרוקוק ממוצא צואתי,300,ירמוכים כניסה,סקר,,,,,,
NS00001691,2024-01-01 15:14:41,קוליפורם צואתי,900,ירמוכים כניסה,סקר,,,,,,
NS00001691,2024-03-25 13:07:10,סטרפטוקוק/אנטרוקוק ממוצא צואתי,40,ירמוכים כניסה,סקר,,,,,,
NS00001691,2024-03-25 13:07:10,קוליפורם צואתי,280,ירמוכים כניסה,סקר,,,,,,
NS00001794,2024-01-29 14:36:53,סטרפטוקוק/אנטרוקוק ממוצא צואתי,2400,ירמוכים כניסה ,סקר,,,,,,
NS00001794,2024-01-29 14:36:53,קוליפורם צואתי,2400,ירמוכים כניסה ,סקר,,,,,,
NS00001794,2024-02-25 14:24:37,סטרפטוקוק/אנטרוקוק ממוצא צואתי,150,ירמוכים כניסה ,סקר,,,,,,
NS00001794,2024-02-25 14:24:37,קוליפורם צואתי,300,ירמוכים כניסה ,סקר,,,,,,
NS00001794,2024-04-15 14:33:31,סטרפטוקוק/אנטרוקוק ממוצא צואתי,220,ירמוכים כניסה ,סקר,,,,,,
NS00001794,2024-04-15 14:33:31,קוליפורם צואתי,1200,ירמוכים כניסה ,סקר,,,,,,
NS00001794,2024-05-12 14:04:50,סטרפטוקוק/אנטרוקוק ממוצא צואתי,100,ירמוכים כניסה ,סקר,,,,,,
NS00001794,2024-05-12 14:04:50,קוליפורם צואתי,828,ירמוכים כניסה ,סקר,,,,,,
NS00001794,2024-06-09 15:02:25,סטרפטוקוק/אנטרוקוק ממוצא צואתי,32,ירמוכים כניסה ,סקר,,,,,,
NS00001794,2024-06-09 15:02:25,קוליפורם צואתי,9920,ירמוכים כניסה ,סקר,,,,,,
NS00001794,2024-07-08 14:16:27,סטרפטוקוק/אנטרוקוק ממוצא צואתי,200,ירמוכים כניסה ,סקר,,,,,,
NS00001794,2024-07-08 14:16:27,קוליפורם צואתי,600,ירמוכים כניסה ,סקר,,,,,,
NS00001794,2024-08-05 12:24:24,סטרפטוקוק/אנטרוקוק ממוצא צואתי,40,ירמוכים כניסה ,סקר,,,,,,
NS00001794,2024-08-05 12:24:24,קוליפורם צואתי,380,ירמוכים כניסה ,סקר,,,,,,
NS00001794,2024-08-27 14:16:33,סטרפטוקוק/אנטרוקוק ממוצא צואתי,68,ירמוכים כניסה ,סקר,,,,,,
NS00001794,2024-08-27 14:16:33,קוליפורם צואתי,640,ירמוכים כניסה ,סקר,,,,,,
NS00001794,2024-09-09 15:47:43,סטרפטוקוק/אנטרוקוק ממוצא צואתי,160,ירמוכים כניסה ,סקר,,,,,,
NS00001794,2024-09-09 15:47:43,קוליפורם צואתי,880,ירמוכים כניסה ,סקר,,,,,,
NS00001794,2024-09-16 14:33:47,סטרפטוקוק/אנטרוקוק ממוצא צואתי,60,ירמוכים כניסה ,סקר,,,,,,
NS00001794,2024-09-16 14:33:47,קוליפורם צואתי,720,ירמוכים כניסה ,סקר,,,,,,
NS00001794,2024-10-06 13:10:45,E.coli MUG,פלטה מכוסה,ירמוכים כניסה ,סקר,,,,,,
NS00001794,2024-10-06 13:10:45,סטרפטוקוק/אנטרוקוק ממוצא צואתי,600,ירמוכים כניסה ,סקר,,,,,,
NS00001794,2024-10-06 13:10:45,קוליפורם צואתי,פלטה מכוסה,ירמוכים כניסה ,סקר,,,,,,
NS00001794,2024-11-17 15:07:54,E.coli MUG,450,ירמוכים כניסה ,סקר,,,,,,
NS00001794,2024-11-17 15:07:54,סטרפטוקוק/אנטרוקוק ממוצא צואתי,400,ירמוכים כניסה ,סקר,,,,,,
NS00001794,2024-11-17 15:07:54,קוליפורם צואתי,450,ירמוכים כניסה ,סקר,,,,,,
NS00001794,2024-12-15 15:31:30,E.coli MUG,480,ירמוכים כניסה ,סקר,,,,,,
NS00001794,2024-12-15 15:31:30,סטרפטוקוק/אנטרוקוק ממוצא צואתי,140,ירמוכים כניסה ,סקר,,,,,,
NS00001794,2024-12-15 15:31:30,קוליפורם צואתי,500,ירמוכים כניסה ,סקר,,,,,,
NS00002042,2024-01-01 15:14:41,סטרפטוקוק/אנטרוקוק ממוצא צואתי,<2,ירמוכים יציאה ממאגר לאחר חיטוי,סקר,,,,,,
NS00002042,2024-01-01 15:14:41,קוליפורם צואתי,<2,ירמוכים יציאה ממאגר לאחר חיטוי,סקר,,,,,,
NS00002042,2024-01-29 14:36:53,סטרפטוקוק/אנטרוקוק ממוצא צואתי,<2,ירמוכים יציאה ממאגר לאחר חיטוי,סקר,,,,,,
NS00002042,2024-01-29 14:36:53,קוליפורם צואתי,<2,ירמוכים יציאה ממאגר לאחר חיטוי,סקר,,,,,,
NS00002042,2024-02-25 14:24:37,סטרפטוקוק/אנטרוקוק ממוצא צואתי,<2,ירמוכים יציאה ממאגר לאחר חיטוי,סקר,,,,,,
NS00002042,2024-02-25 14:24:37,קוליפורם צואתי,<2,ירמוכים יציאה ממאגר לאחר חיטוי,סקר,,,,,,
NS00002042,2024-03-25 13:07:10,סטרפטוקוק/אנטרוקוק ממוצא צואתי,<2,ירמוכים יציאה ממאגר לאחר חיטוי,סקר,,,,,,
NS00002042,2024-03-25 13:07:10,קוליפורם צואתי,<2,ירמוכים יציאה ממאגר לאחר חיטוי,סקר,,,,,,
NS00002042,2024-04-15 14:36:31,סטרפטוקוק/אנטרוקוק ממוצא צואתי,<2,ירמוכים יציאה ממאגר לאחר חיטוי,סקר,,,,,,
NS00002042,2024-04-15 14:36:31,קוליפורם צואתי,<2,ירמוכים יציאה ממאגר לאחר חיטוי,סקר,,,,,,
NS00002042,2024-05-12 14:04:50,סטרפטוקוק/אנטרוקוק ממוצא צואתי,<2,ירמוכים יציאה ממאגר לאחר חיטוי,סקר,,,,,,
