,,,"תוצאות בקטריאליות מדיגום במסגרת פיקוח מדגמי בנחלים, סקרים, שונות ",,
קוד נקודה,תאריך דיגום,מדד בקטריאלי,תוצאה        CFU/100 ml,שם נקודה,אתר
NS00000706,2025-12-08 13:46:43,קוליפורם צואתי,110,בריכת משושי זוויתן,זוויתן
NS00001908,2025-04-02 13:31:35,E.coli MUG,1170,ירדן גשר להבות הבשן,ירדן
NS00001908,2025-04-02 13:31:35,קוליפורם צואתי,1170,ירדן גשר להבות הבשן,ירדן
NS00001908,2025-04-22 19:00:25,E.coli MUG,550,ירדן גשר להבות הבשן,ירדן
NS00001908,2025-04-22 19:00:25,קוליפורם צואתי,550,ירדן גשר להבות הבשן,ירדן
NS00001908,2025-05-07 13:51:05,E.coli MUG,160,ירדן גשר להבות הבשן,ירדן
NS00001908,2025-05-07 13:51:05,קוליפורם צואתי,380,ירדן גשר להבות הבשן,ירדן
NS00001908,2025-05-20 09:00:42,E.coli MUG,400,ירדן גשר להבות הבשן,ירדן
NS00001908,2025-05-20 09:00:42,קוליפורם צואתי,600,ירדן גשר להבות הבשן,ירדן
NS00001908,2025-06-03 16:12:20,E.coli MUG,750,ירדן גשר להבות הבשן,ירדן
NS00001908,2025-06-03 16:12:20,קוליפורם צואתי,750,ירדן גשר להבות הבשן,ירדן
NS00001908,2025-07-01 13:36:51,E.coli MUG,4200,ירדן גשר להבות הבשן,ירדן
NS00001908,2025-07-01 13:36:51,קוליפורם צואתי,4200,ירדן גשר להבות הבשן,ירדן
NS00001908,2025-07-15 14:37:43,E.coli MUG,800,ירדן גשר להבות הבשן,ירדן
NS00001908,2025-07-15 14:37:43,קוליפורם צואתי,800,ירדן גשר להבות הבשן,ירדן
NS00001908,2025-07-29 13:45:56,E.coli MUG,2100,ירדן גשר להבות הבשן,ירדן
NS00001908,2025-07-29 13:45:56,קוליפורם צואתי,2100,ירדן גשר להבות הבשן,ירדן
NS00001908,2025-08-12 15:21:45,E.coli MUG,2200,ירדן גשר להבות הבשן,ירדן
NS00001908,2025-08-12 15:21:45,קוליפורם צואתי,2200,ירדן גשר להבות הבשן,ירדן
NS00001908,2025-08-26 15:42:07,E.coli MUG,פלטה מכוסה,ירדן גשר להבות הבשן,ירדן
NS00001908,2025-08-26 15:42:07,קוליפורם צואתי,פלטה מכוסה,ירדן גשר להבות הבשן,ירדן
NS00001908,2025-09-07 12:15:54,E.coli MUG,2400,ירדן גשר להבות הבשן,ירדן
NS00001908,2025-09-07 12:15:54,קוליפורם צואתי,2400,ירדן גשר להבות הבשן,ירדן
NS00001908,2025-09-29 16:23:42,E.coli MUG,1000,ירדן גשר להבות הבשן,ירדן
NS00001908,2025-09-29 16:23:42,קוליפורם צואתי,1000,ירדן גשר להבות הבשן,ירדן
NS00001908,2025-10-15 15:15:59,E.coli MUG,1400,ירדן גשר להבות הבשן,ירדן
NS00001908,2025-10-15 15:15:59,קוליפורם צואתי,1400,ירדן גשר להבות הבשן,ירדן
NS00001908,2025-11-11 12:49:29,E.coli MUG,2000,ירדן גשר להבות הבשן,ירדן
NS00001908,2025-11-11 12:49:29,קוליפורם צואתי,2000,ירדן גשר להבות הבשן,ירדן
NS00001908,2025-12-08 13:46:43,E.coli MUG,1110,ירדן גשר להבות הבשן,ירדן
NS00001908,2025-12-08 13:46:43,קוליפורם צואתי,1110,ירדן גשר להבות הבשן,ירדן
NS00000705,2025-04-02 13:31:35,E.coli MUG,100,בניאס גשר כפר סאלד,בניאס
NS00000705,2025-04-02 13:31:35,קוליפורם צואתי,100,בניאס גשר כפר סאלד,בניאס
NS00000705,2025-04-22 19:00:25,E.coli MUG,290,בניאס גשר כפר סאלד,בניאס
NS00000705,2025-04-22 19:00:25,קוליפורם צואתי,290,בניאס גשר כפר סאלד,בניאס
NS00000705,2025-05-07 13:51:05,E.coli MUG,260,בניאס גשר כפר סאלד,בניאס
NS00000705,2025-05-07 13:51:05,קוליפורם צואתי,260,בניאס גשר כפר סאלד,בניאס
NS00000705,2025-05-20 09:00:42,E.coli MUG,170,בניאס גשר כפר סאלד,בניאס
NS00000705,2025-05-20 09:00:42,קוליפורם צואתי,230,בניאס גשר כפר סאלד,בניאס
NS00000705,2025-06-03 16:12:20,E.coli MUG,150,בניאס גשר כפר סאלד,בניאס
NS00000705,2025-06-03 16:12:20,קוליפורם צואתי,250,בניאס גשר כפר סאלד,בניאס
NS00000705,2025-07-01 13:36:51,E.coli MUG,280,בניאס גשר כפר סאלד,בניאס
NS00000705,2025-07-01 13:36:51,קוליפורם צואתי,280,בניאס גשר כפר סאלד,בניאס
NS00000705,2025-07-15 14:37:43,E.coli MUG,350,בניאס גשר כפר סאלד,בניאס
NS00000705,2025-07-15 14:37:43,קוליפורם צואתי,350,בניאס גשר כפר סאלד,בניאס
NS00000705,2025-07-29 13:45:56,E.coli MUG,200,בניאס גשר כפר סאלד,בניאס
NS00000705,2025-07-29 13:45:56,קוליפורם צואתי,200,בניאס גשר כפר סאלד,בניאס
NS00000705,2025-08-12 15:21:45,E.coli MUG,270,בניאס גשר כפר סאלד,בניאס
NS00000705,2025-08-12 15:21:45,קוליפורם צואתי,460,בניאס גשר כפר סאלד,בניאס
NS00000705,2025-08-26 15:42:07,E.coli MUG,פלטה מכוסה,בניאס גשר כפר סאלד,בניאס
NS00000705,2025-08-26 15:42:07,קוליפורם צואתי,פלטה מכוסה,בניאס גשר כפר סאלד,בניאס
NS00000705,2025-09-07 12:15:54,E.coli MUG,420,בניאס גשר כפר סאלד,בניאס
NS00000705,2025-09-07 12:15:54,קוליפורם צואתי,420,בניאס גשר כפר סאלד,בניאס
NS00000705,2025-09-29 16:23:42,E.coli MUG,450,בניאס גשר כפר סאלד,בניאס
NS00000705,2025-09-29 16:23:42,קוליפורם צואתי,600,בניאס גשר כפר סאלד,בניאס
NS00000705,2025-10-15 15:15:59,E.coli MUG,480,בניאס גשר כפר סאלד,בניאס
NS00000705,2025-10-15 15:15:59,קוליפורם צואתי,480,בניאס גשר כפר סאלד,בניאס
NS00000705,2025-11-11 12:49:29,E.coli MUG,400,בניאס גשר כפר סאלד,בניאס
NS00000705,2025-11-11 12:49:29,קוליפורם צואתי,400,בניאס גשר כפר סאלד,בניאס
NS00000705,2025-12-08 13:46:43,E.coli MUG,150,בניאס גשר כפר סאלד,בניאס
NS00000705,2025-12-08 13:46:43,קוליפורם צואתי,250,בניאס גשר כפר סאלד,בניאס
NS00001971,2025-04-02 13:31:35,E.coli MUG,200,חצבני גשר רומי,חצבני
NS00001971,2025-04-02 13:31:35,קוליפורם צואתי,210,חצבני גשר רומי,חצבני
NS00001971,2025-04-22 19:00:25,E.coli MUG,40,חצבני גשר רומי,חצבני
NS00001971,2025-04-22 19:00:25,קוליפורם צואתי,50,חצבני גשר רומי,חצבני
